#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-03-21T04:32:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5aaca3e01564d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/230/20/table5
#-nav=cat:J/ApJS/230/20&tab:{J/ApJS/230/20/table5}&key:source=J/ApJS/230/20&HTTPPRM:&&-ref=VIZ5aaca3e01564d&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=True&-out=Pred&-out=Prob&-out=CoNFIG&-out=B12&-out=NVSS&-out=FIRST&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/230/20/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/230/20/table5
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=True
#-out=Pred
#-out=Prob
#-out=CoNFIG
#-out=B12
#-out=NVSS
#-out=FIRST
#

#RESOURCE=yCat_22300020
#Name: J/ApJS/230/20
#Title: Machine learning technique to classify CoNFIG gal. (Aniyan+, 2017)
#Table	J_ApJS_230_20_table5:
#Name: J/ApJS/230/20/table5
#Title: Table of predictions for validation samples
#Column	Name	(a19)	Source Name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	True	(A4)	True Class of Source (1)	[ucd=src.class]
#Column	Pred	(a7)	Prediction by algorithm (1)	[ucd=src.class]
#Column	Prob	(F9.5)	Probability Score of Prediction (1)	[ucd=stat.probability]
#Column	CoNFIG	(I3)	Display data from CoNFIG (Gendre & Wall 2008, J/MNRAS/390/819 and Gendre+, 2010, J/MNRAS/404/1719) within 0.5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	B12	(I3)	Display data from Best+, 2012, J/MNRAS/421/1569, within 2" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	NVSS	(I3)	Display data from NVSS (VIII/65) within 5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	FIRST	(I3)	Display data from NVSS (VIII/92) and Proctor, 2011, J/ApJS/194/31, within 3" [NULL integer written as an empty string]	[ucd=meta.ref.url]
Name|RAJ2000|DEJ2000|True|Pred|Prob|CoNFIG|B12|NVSS|FIRST
 |"h:m:s"|"d:m:s"| | | | | | |
-------------------|------------|------------|----|-------|---------|---|---|---|---
1426+0093          |14 26 49.840|+00 55 59.90|FRII|FRII   | 99.99995|  1|  0|  1|  0
3C 194             |08 10 03.670|+42 28 04.00|FRII|FRII   | 99.99995|  2|  0|  1|  0
3C 208             |08 53 08.830|+13 52 55.30|FRII|FRII   | 99.99735|  2|  0|  1|  1
3C 228             |09 50 10.770|+14 19 57.30|FRII|FRII   | 99.99990|  2|  0|  1|  0
3C 240             |10 17 49.770|+27 32 07.70|FRII|FRII   | 99.99785|  1|  0|  1|  0
3C 243             |10 26 31.960|+06 27 32.70|FRII|FRII   |100.00000|  1|  0|  1|  0
3C 244.1           |10 33 33.870|+58 14 37.90|FRII|FRII   | 99.99980|  2|  0|  1|  0
3C 251             |11 08 37.600|+38 58 42.10|FRII|FRII   | 99.99810|  1|  0|  0|  0
3C 268.2           |12 00 59.770|+31 33 57.90|FRII|FRII   | 99.99600|  2|  0|  1|  0
3C 268.4           |12 09 13.520|+43 39 18.70|FRII|FRII   | 99.99425|  2|  0|  1|  1
3C 277.2           |12 53 32.700|+15 42 27.30|FRII|FRII   | 99.98255|  2|  0|  1|  0
3C 294             |14 06 44.100|+34 11 26.20|FRII|FRII   | 99.99975|  2|  0|  1|  0
3C 322             |15 35 01.270|+55 36 49.80|FRII|FRII   | 99.99985|  2|  0|  1|  0
3C 323.1           |15 47 44.230|+20 52 41.00|FRII|FRII   | 99.98880|  2|  0|  1|  1
3C 336             |16 24 39.420|+23 45 17.50|FRII|FRII   | 99.99995|  2|  0|  1|  1
3C 342             |16 36 37.380|+26 48 06.60|FRII|FRII   | 99.99570|  2|  0|  1|  0
4C -00.55          |14 23 26.700|-00 49 56.50|FRII|FRII   | 99.99925|  1|  0|  1|  0
4C 01.39           |13 57 01.510|+01 04 39.70|FRII|FRII   | 99.99990|  2|  0|  1|  0
4C 03.21           |11 11 22.710|+03 09 10.40|FRII|FRII   | 86.14455|  1|  0|  1|  0
4C 05.53           |11 48 47.510|+04 55 27.70|FRII|FRII   | 99.99995|  1|  0|  1|  0
4C 11.40           |11 53 03.110|+11 07 20.40|FRII|FRII   | 99.99950|  1|  0|  1|  0
4C 11.47           |14 57 57.400|+11 44 22.10|FRII|FRII   | 99.99985|  1|  0|  1|  0
4C 12.42           |11 40 27.690|+12 03 07.60|FRI |FRI    | 99.98975|  2|  1|  1|  1
4C 12.56           |15 59 06.890|+12 10 26.90|FRII|FRII   | 93.97970|  1|  0|  1|  0
4C 14.35           |10 00 28.110|+14 01 34.10|FRII|FRII   | 99.97370|  1|  0|  1|  0
4C 14.57           |15 00 21.360|+14 34 59.80|FRII|FRII   |100.00000|  1|  0|  1|  0
